Dataset,Method,Features,p < 0.05,Median p,Mean KS
HIV,Bootstrap,63,0,0.7891527720370711,0.07238792953078667
HIV,Column-wise,63,0,0.6689039530709652,0.07605093319379033
HIV,CVAE,63,4,0.5657252241690123,0.2965288679574394
HIV,GMM,63,1,0.5065214529827518,0.20059305773591488
Breast Cancer,Bootstrap,30,0,0.7917002495785036,0.032688927943760986
Breast Cancer,Column-wise,30,0,0.7126432573598507,0.030697129466900997
Breast Cancer,CVAE,30,3,0.5625071277425602,0.0810779144698301
Breast Cancer,GMM,30,1,0.7005453133021546,0.10451083772700645
Diabetes,Bootstrap,8,0,0.5932332177288421,0.030436197916666664
Diabetes,Column-wise,8,0,0.8623498872641426,0.025065104166666668
Diabetes,CVAE,8,1,0.49727061664068684,0.17740885416666666
Diabetes,GMM,8,0,0.8251923549194973,0.14404296875
