Method,No.,Feature,n real,n synthetic,Real mean,Synthetic mean,Difference,Welch t,p-value,KS,p < 0.05
Bootstrap,1,mean radius,569,569,14.127291743072348,14.094518472105003,-0.03277327096734517,0.15521624242287735,0.8766784297584435,0.029876977152899824,No
Bootstrap,2,mean texture,569,569,19.289648528677297,19.431370889365358,0.14172236068806043,-0.5478945151313807,0.5838720568214704,0.029876977152899824,No
Bootstrap,3,mean perimeter,569,569,91.96903329993384,91.7108082762921,-0.25822502364174227,0.1777278099317228,0.8589684378946739,0.028119507908611598,No
Bootstrap,4,mean area,569,569,654.889103814043,652.7681897905883,-2.120914023454702,0.10105323595211758,0.9195260346731096,0.03163444639718805,No
Bootstrap,5,mean smoothness,569,569,0.09636028129312821,0.09588476291387907,-0.0004755183792491402,0.5803757744090415,0.5617764865902808,0.02460456942003515,No
Bootstrap,6,mean compactness,569,569,0.10434098429781481,0.10352615112854538,-0.0008148331692694327,0.26551806599471367,0.790658650592595,0.03163444639718805,No
Bootstrap,7,mean concavity,569,569,0.08879931578830029,0.08675362189414523,-0.0020456938941550568,0.44257634310041205,0.6581566270146874,0.015817223198594025,No
Bootstrap,8,mean concave points,569,569,0.04891914597230428,0.04786397551365609,-0.00105517045864819,0.4604838219832808,0.6452571184892102,0.02460456942003515,No
Bootstrap,9,mean symmetry,569,569,0.18116186307792295,0.18150000000513292,0.00033813692720996436,-0.20653908605441046,0.836406855520663,0.0351493848857645,No
Bootstrap,10,mean fractal dimension,569,569,0.06279760972974799,0.06282080836947647,2.3198639728480575e-05,-0.05698044845918914,0.9545708226589511,0.02460456942003515,No
Bootstrap,11,radius error,569,569,0.40517205624515434,0.38082636287845084,-0.024345693366703502,1.5966652002563826,0.11062582952856316,0.061511423550087874,No
Bootstrap,12,texture error,569,569,1.2168534254566856,1.2103794341242375,-0.006473991332448081,0.2036129362592614,0.8386925729003084,0.028119507908611598,No
Bootstrap,13,perimeter error,569,569,2.8660592201095474,2.714771517760305,-0.15128770234924227,1.3740577898102118,0.1697040839414968,0.04569420035149385,No
Bootstrap,14,area error,569,569,40.33707911519887,37.08907914622597,-3.2479999689728984,1.3621154134028761,0.17345253896742083,0.0492091388400703,No
Bootstrap,15,smoothness error,569,569,0.007040978908565007,0.007030446383519416,-1.0532525045590935e-05,0.059431487357688675,0.9526188877714181,0.01757469244288225,No
Bootstrap,16,compactness error,569,569,0.025478138811378913,0.02505886819261095,-0.0004192706187679633,0.4056972646305897,0.6850416851874949,0.0210896309314587,No
Bootstrap,17,concavity error,569,569,0.03189371635352535,0.0316015149621982,-0.0002922013913271501,0.16977515168994023,0.8652173966454315,0.022847100175746926,No
Bootstrap,18,concave points error,569,569,0.011796137079660353,0.011613291733070016,-0.00018284534659033722,0.5097659238655265,0.6103146376890464,0.022847100175746926,No
Bootstrap,19,symmetry error,569,569,0.020542298759512197,0.020804731100012002,0.0002624323404998054,-0.5166902855904665,0.6054734260225568,0.026362038664323375,No
Bootstrap,20,fractal dimension error,569,569,0.0037949038734937804,0.003712490859489744,-8.241301400403658e-05,0.5618610232378819,0.5743238392256376,0.033391915641476276,No
Bootstrap,21,worst radius,569,569,16.269189776770887,16.178894503883402,-0.0902952728874844,0.3135899241688982,0.7538900882799893,0.0492091388400703,No
Bootstrap,22,worst texture,569,569,25.67722316534113,25.950245971210393,0.27302280586926386,-0.7365567520712295,0.46154418949018794,0.0351493848857645,No
Bootstrap,23,worst perimeter,569,569,107.26121279644421,106.73796147914679,-0.5232513172974222,0.26281367657216803,0.7927418485644122,0.033391915641476276,No
Bootstrap,24,worst area,569,569,880.5831290514901,872.8581732832066,-7.7249557682835075,0.22843231200099692,0.8193512846618247,0.043936731107205626,No
Bootstrap,25,worst smoothness,569,569,0.13236859435565862,0.13257342727563504,0.0002048329199764165,-0.15111609631808298,0.8799109648876511,0.019332161687170474,No
Bootstrap,26,worst compactness,569,569,0.25426504394016597,0.25475804983705336,0.0004930058968873885,-0.0535309800788215,0.9573182657290658,0.0421792618629174,No
Bootstrap,27,worst concavity,569,569,0.2721884833807977,0.2728756945492268,0.0006872111684290694,-0.05631166555353167,0.9551034355072472,0.028119507908611598,No
Bootstrap,28,worst concave points,569,569,0.11460622294146325,0.11469174147811055,8.551853664730269e-05,-0.021731419772251608,0.9826660180730122,0.0210896309314587,No
Bootstrap,29,worst symmetry,569,569,0.2900755708948799,0.29343936753398714,0.0033637966391072416,-0.9229833973951354,0.35621188064017073,0.040421792618629174,No
Bootstrap,30,worst fractal dimension,569,569,0.08394581713895387,0.08400003488301602,5.4217744062154405e-05,-0.05285025912223846,0.9578605827780062,0.0632688927943761,No
Column-wise,1,mean radius,569,569,14.127291743072348,14.085469272727497,-0.04182247034485087,0.19764264535074663,0.8433600474590391,0.028119507908611598,No
Column-wise,2,mean texture,569,569,19.289648528677297,19.42079089856944,0.13114236989214234,-0.5061862025577678,0.6128242518697247,0.0351493848857645,No
Column-wise,3,mean perimeter,569,569,91.96903329993384,91.62017572868896,-0.3488575712448778,0.24505020011228967,0.8064618456504737,0.028119507908611598,No
Column-wise,4,mean area,569,569,654.889103814043,646.6520215723343,-8.237082241708663,0.3965821385875813,0.6917501166246658,0.026362038664323375,No
Column-wise,5,mean smoothness,569,569,0.09636028129312821,0.09626231988096488,-9.796141216332488e-05,0.11767630230307631,0.906344946685866,0.028119507908611598,No
Column-wise,6,mean compactness,569,569,0.10434098429781481,0.10319469255347767,-0.0011462917443371412,0.37014419977854934,0.7113440818095094,0.022847100175746926,No
Column-wise,7,mean concavity,569,569,0.08879931578830029,0.09332711861783112,0.00452780282953083,-0.9127675496010321,0.36156012046064623,0.022847100175746926,No
Column-wise,8,mean concave points,569,569,0.04891914597230428,0.047883717148844644,-0.0010354288234596387,0.4486260320650825,0.6537870138992503,0.040421792618629174,No
Column-wise,9,mean symmetry,569,569,0.18116186307792295,0.181313005307123,0.00015114222920004083,-0.09070616762205742,0.927742098027496,0.0210896309314587,No
Column-wise,10,mean fractal dimension,569,569,0.06279760972974799,0.06258546548563274,-0.00021214424411525323,0.5184384766069106,0.6042535550269579,0.026362038664323375,No
Column-wise,11,radius error,569,569,0.40517205624515434,0.39969701266246854,-0.005475043582685801,0.3316999033601567,0.7401770611795774,0.0421792618629174,No
Column-wise,12,texture error,569,569,1.2168534254566856,1.2520045667415345,0.035151141284848864,-1.059672221056012,0.28951917239679453,0.0421792618629174,No
Column-wise,13,perimeter error,569,569,2.8660592201095474,2.8382808401630717,-0.027778379946475695,0.22693900369402425,0.820512071997741,0.04569420035149385,No
Column-wise,14,area error,569,569,40.33707911519887,39.2616642531276,-1.0754148620712698,0.3861929968875879,0.6994263344212802,0.0351493848857645,No
Column-wise,15,smoothness error,569,569,0.007040978908565007,0.0070666818935194945,2.5702984954487605e-05,-0.14259576020897827,0.8866347479374865,0.03163444639718805,No
Column-wise,16,compactness error,569,569,0.025478138811378913,0.024836701216169606,-0.0006414375952093071,0.61403448095576,0.5393156182456356,0.028119507908611598,No
Column-wise,17,concavity error,569,569,0.03189371635352535,0.032969382162916235,0.0010756658093908841,-0.5681102474673224,0.5700736560136973,0.022847100175746926,No
Column-wise,18,concave points error,569,569,0.011796137079660353,0.01163602285234418,-0.00016011422731617223,0.4288610177690238,0.668105810898076,0.03163444639718805,No
Column-wise,19,symmetry error,569,569,0.020542298759512197,0.020342564159555782,-0.00019973459995641443,0.4140654483150865,0.6789044217652968,0.026362038664323375,No
Column-wise,20,fractal dimension error,569,569,0.0037949038734937804,0.003788058704640127,-6.845168853653397e-06,0.045721861410612026,0.9635400521314177,0.0351493848857645,No
Column-wise,21,worst radius,569,569,16.269189776770887,16.237766252460716,-0.03142352431017059,0.110723989296254,0.9118547876670707,0.022847100175746926,No
Column-wise,22,worst texture,569,569,25.67722316534113,25.809736364126625,0.13251319878549594,-0.3666580072744454,0.713942432910192,0.022847100175746926,No
Column-wise,23,worst perimeter,569,569,107.26121279644421,106.61787377007188,-0.6433390263723311,0.3183955089715276,0.7502435146685369,0.0421792618629174,No
Column-wise,24,worst area,569,569,880.5831290514901,885.6950798638047,5.111950812314603,-0.15132799273390704,0.879743856454862,0.019332161687170474,No
Column-wise,25,worst smoothness,569,569,0.13236859435565862,0.13243309331170705,6.449895604843103e-05,-0.04814413972487974,0.9616098347838589,0.015817223198594025,No
Column-wise,26,worst compactness,569,569,0.25426504394016597,0.24478616922936666,-0.009478874710799307,1.0517579620963868,0.2931354173412904,0.0351493848857645,No
Column-wise,27,worst concavity,569,569,0.2721884833807977,0.27050700732600924,-0.0016814760547884666,0.13480449998352803,0.8927903344454111,0.028119507908611598,No
Column-wise,28,worst concave points,569,569,0.11460622294146325,0.11638193810767836,0.0017757151662151083,-0.4504457258376712,0.6524750772661891,0.033391915641476276,No
Column-wise,29,worst symmetry,569,569,0.2900755708948799,0.295824428539075,0.005748857644195082,-1.5363164953523119,0.12473966305203261,0.050966608084358524,No
Column-wise,30,worst fractal dimension,569,569,0.08394581713895387,0.08399827754115179,5.246040219791803e-05,-0.04865928226081781,0.9611993803036453,0.029876977152899824,No
CVAE,1,mean radius,569,569,14.127291743072348,14.080645066782544,-0.04664667628980368,0.2409836252416281,0.8096124773769333,0.04745166959578207,No
CVAE,2,mean texture,569,569,19.289648528677297,18.73245500722124,-0.5571935214560568,2.496537299489098,0.01269522318084021,0.10720562390158173,Yes
CVAE,3,mean perimeter,569,569,91.96903329993384,91.25691938484071,-0.712113915093127,0.5345834808308864,0.5930455248103104,0.0492091388400703,No
CVAE,4,mean area,569,569,654.889103814043,640.0909670006831,-14.79813681335986,0.7834012982867522,0.43356268593018366,0.05272407732864675,No
CVAE,5,mean smoothness,569,569,0.09636028129312821,0.09621774170855436,-0.00014253958457384475,0.19249478201293663,0.8473915306039592,0.09314586994727592,No
CVAE,6,mean compactness,569,569,0.10434098429781481,0.10190537905808283,-0.0024356052397319777,0.8417683224084589,0.40009999322434686,0.05975395430579965,No
CVAE,7,mean concavity,569,569,0.08879931578830029,0.08528140375164775,-0.00351791203665254,0.8064269200689335,0.4201706170685382,0.05799648506151142,No
CVAE,8,mean concave points,569,569,0.04891914597230428,0.04788831776574332,-0.0010308282065609603,0.48384404601163067,0.6285923748034747,0.07381370826010544,No
CVAE,9,mean symmetry,569,569,0.18116186307792295,0.18154957382456907,0.0003877107466461194,-0.2688720731184623,0.788080519596501,0.08260105448154657,No
CVAE,10,mean fractal dimension,569,569,0.06279760972974799,0.06256564335344336,-0.00023196637630462646,0.6113216445201106,0.5411147254095184,0.070298769771529,No
CVAE,11,radius error,569,569,0.40517205624515434,0.39779322239552317,-0.007378833849631172,0.5298230173842596,0.5963542129703041,0.140597539543058,No
CVAE,12,texture error,569,569,1.2168534254566856,1.1602471553587956,-0.05660627009788999,1.9767301561328874,0.04833605845711403,0.08611599297012303,Yes
CVAE,13,perimeter error,569,569,2.8660592201095474,2.7960160157802023,-0.07004320432934508,0.6918755429262899,0.48917971188860465,0.14938488576449913,No
CVAE,14,area error,569,569,40.33707911519887,37.781513257688715,-2.555565857510153,1.1509188943051172,0.250062495864452,0.0773286467486819,No
CVAE,15,smoothness error,569,569,0.007040978908565007,0.007131924998810636,9.094609024562928e-05,-0.5701571537028606,0.568690643916141,0.09314586994727592,No
CVAE,16,compactness error,569,569,0.025478138811378913,0.0258883212468798,0.00041018243550088734,-0.4441748174080413,0.6570095557572588,0.15641476274165203,No
CVAE,17,concavity error,569,569,0.03189371635352535,0.03223588130386098,0.0003421649503356286,-0.22597123086717974,0.8212708472457205,0.11775043936731107,No
