Method,No.,Feature,n real,n synthetic,Real mean,Synthetic mean,Difference,Welch t,p-value,KS,p < 0.05
Bootstrap,1,preg,768,768,3.8450520833333335,3.7174479166666665,-0.12760416666666696,0.7512633102149361,0.4526095104557706,0.029947916666666668,No
Bootstrap,2,plas,768,768,120.89453125,119.90494791666667,-0.9895833333333286,0.6054390769103631,0.5449768529426371,0.01953125,No
Bootstrap,3,pres,768,768,69.10546875,69.49088541666667,0.3854166666666714,-0.40498199255832823,0.6855475508476365,0.018229166666666668,No
Bootstrap,4,skin,768,768,20.536458333333332,21.3203125,0.7838541666666679,-0.9555760721611296,0.33943705056572604,0.0390625,No
Bootstrap,5,insu,768,768,79.79947916666667,81.19270833333333,1.3932291666666572,-0.2417678851465844,0.8089923946536133,0.022135416666666668,No
Bootstrap,6,mass,768,768,31.99257813890775,32.54062507301569,0.5480469341079406,-1.3489136705568097,0.17756385477006256,0.05859375,No
Bootstrap,7,pedi,768,768,0.4718763029280429,0.469747397127018,-0.002128905801024872,0.1250024290569575,0.9005380093449579,0.020833333333333332,No
Bootstrap,8,age,768,768,33.240885416666664,32.959635416666664,-0.28125,0.4657094878549381,0.6414895825150471,0.03515625,No
Column-wise,1,preg,768,768,3.8450520833333335,3.8125,-0.03255208333333348,0.19130401002788952,0.8483127475472233,0.014322916666666666,No
Column-wise,2,plas,768,768,120.89453125,120.68359375,-0.2109375,0.12845531230405602,0.8978055017220282,0.020833333333333332,No
Column-wise,3,pres,768,768,69.10546875,69.2578125,0.15234375,-0.15557687781366392,0.8763870269810619,0.020833333333333332,No
Column-wise,4,skin,768,768,20.536458333333332,20.453125,-0.08333333333333215,0.10068103584454278,0.9198168367859195,0.026041666666666668,No
Column-wise,5,insu,768,768,79.79947916666667,74.29296875,-5.506510416666671,0.9506389322915553,0.34193758958496134,0.03125,No
Column-wise,6,mass,768,768,31.99257813890775,31.701302103698254,-0.29127603520949563,0.7272595270013898,0.4671779692725374,0.03515625,No
Column-wise,7,pedi,768,768,0.4718763029280429,0.4738684897214019,0.0019921867933589965,-0.117568952176355,0.9064245983349766,0.02734375,No
Column-wise,8,age,768,768,33.240885416666664,33.459635416666664,0.21875,-0.3571791082430775,0.7210069324086812,0.024739583333333332,No
CVAE,1,preg,768,768,3.8450520833333335,3.860536420562615,0.015484337229281664,-0.0988550425913777,0.9212668239492643,0.23697916666666666,No
CVAE,2,plas,768,768,120.89453125,121.93257461984952,1.0380433698495182,-0.6911621515168793,0.4895716184262252,0.08984375,No
CVAE,3,pres,768,768,69.10546875,68.79294013977051,-0.3125286102294922,0.37000889308180485,0.7114338395092019,0.09765625,No
CVAE,4,skin,768,768,20.536458333333332,22.24314567943414,1.7066873461008072,-2.2698534248622217,0.02335883094842679,0.25390625,Yes
CVAE,5,insu,768,768,79.79947916666667,82.39478328327338,2.5953041166067123,-0.513407402686181,0.607749538766174,0.4583333333333333,No
CVAE,6,mass,768,768,31.99257813890775,31.533354808886845,-0.45922333002090454,1.2477068407228602,0.21233610245868384,0.057291666666666664,No
CVAE,7,pedi,768,768,0.4718763029280429,0.4615118194099826,-0.010364483518060297,0.6668531281381465,0.5049696148551485,0.08723958333333333,No
CVAE,8,age,768,768,33.240885416666664,32.74087470769882,-0.5000107089678423,0.9291610927378019,0.3529604731845716,0.13802083333333334,No
GMM,1,preg,768,768,3.8450520833333335,3.800493229223472,-0.04455885410986138,0.25772065990926396,0.7966570722056203,0.15885416666666666,No
GMM,2,plas,768,768,120.89453125,120.76408317188422,-0.1304480781157764,0.08093810672210987,0.9355017391879705,0.0625,No
GMM,3,pres,768,768,69.10546875,69.28450144051264,0.17903269051264203,-0.18439545512738878,0.8537276376333742,0.12109375,No
GMM,4,skin,768,768,20.536458333333332,20.51401536000776,-0.022442973325571103,0.027620324400803933,0.9779685640092207,0.18489583333333334,No
GMM,5,insu,768,768,79.79947916666667,82.62649010329979,2.8270109366331155,-0.4825836721880272,0.6294602342146489,0.296875,No
GMM,6,mass,768,768,31.99257813890775,32.44363824402293,0.4510601051151788,-1.118898478579213,0.26335862972136925,0.05859375,No
GMM,7,pedi,768,768,0.4718763029280429,0.46216648162779467,-0.009709821300248223,0.5875902644955561,0.5568940176198327,0.12630208333333334,No
GMM,8,age,768,768,33.240885416666664,33.2519878212673,0.01110240460063494,-0.018521320039396546,0.98522537816868,0.14322916666666666,No
